,Location,Location_1,distance,rank
0,Alabama,Alaska,3348.46,50.0
1,Alabama,American Samoa,6380.29,55.0
2,Alabama,Arizona,1401.62,40.0
3,Alabama,Arkansas,361.71,8.0
4,Alabama,California,1948.19,47.0
5,Alabama,Colorado,1130.24,36.0
6,Alabama,Connecticut,982.38,29.0
7,Alabama,Delaware,748.12,20.0
8,Alabama,Diamond Princess,6027.57,53.0
9,Alabama,District of Columbia,6027.57,53.0
10,Alabama,Florida,355.25,7.0
11,Alabama,Georgia,173.78,2.0
12,Alabama,Grand Princess,6027.57,53.0
13,Alabama,Guam,7785.12,57.0
14,Alabama,Hawaii,4320.79,51.0
15,Alabama,Idaho,1677.64,44.0
16,Alabama,Illinois,495.42,11.0
17,Alabama,Indiana,478.48,10.0
18,Alabama,Iowa,731.58,19.0
19,Alabama,Kansas,749.98,21.0
20,Alabama,Kentucky,339.92,6.0
21,Alabama,Louisiana,332.88,4.0
22,Alabama,Maine,1223.91,38.0
23,Alabama,Maryland,706.53,18.0
24,Alabama,Massachusetts,1065.89,32.0
25,Alabama,Michigan,754.82,23.0
26,Alabama,Minnesota,943.98,28.0
27,Alabama,Mississippi,167.7,1.0
28,Alabama,Missouri,506.85,12.0
29,Alabama,Montana,1560.37,42.0
30,Alabama,Nebraska,872.7,26.0
31,Alabama,Nevada,1779.8,46.0
32,Alabama,New Hampshire,1098.54,34.0
33,Alabama,New Jersey,841.62,25.0
34,Alabama,New Mexico,1104.36,35.0
35,Alabama,New York,927.49,27.0
36,Alabama,North Carolina,465.58,9.0
37,Alabama,North Dakota,1216.81,37.0
38,Alabama,Northern Mariana Islands,7663.2,56.0
39,Alabama,Ohio,554.19,14.0
40,Alabama,Oklahoma,623.6,16.0
41,Alabama,Oregon,2038.8,49.0
42,Alabama,Pennsylvania,753.61,22.0
43,Alabama,Puerto Rico,1613.4,43.0
44,Alabama,Rhode Island,1036.34,31.0
45,Alabama,South Carolina,338.24,5.0
46,Alabama,South Dakota,1014.72,30.0
47,Alabama,Tennessee,215.29,3.0
48,Alabama,Texas,698.3,17.0
49,Alabama,Utah,1463.06,41.0
50,Alabama,Vermont,1085.74,33.0
51,Alabama,Virgin Islands,1679.79,45.0
52,Alabama,Virginia,572.94,15.0
53,Alabama,Washington,2036.91,48.0
54,Alabama,West Virginia,532.26,13.0
55,Alabama,Wisconsin,811.72,24.0
56,Alabama,Wyoming,1298.29,39.0
57,Alaska,American Samoa,5219.55,53.0
58,Alaska,Arizona,2517.7,14.0
59,Alaska,Arkansas,3032.23,26.0
60,Alaska,California,1944.64,5.0
61,Alaska,Colorado,2373.86,11.0
62,Alaska,Connecticut,3383.09,40.0
63,Alaska,Delaware,3429.38,44.0
64,Alaska,Diamond Princess,8003.38,55.0
65,Alaska,District of Columbia,8003.38,55.0
66,Alaska,Florida,3697.75,48.0
67,Alaska,Georgia,3459.31,46.0
68,Alaska,Grand Princess,8003.38,55.0
69,Alaska,Guam,4588.8,50.0
70,Alaska,Hawaii,2695.36,19.0
71,Alaska,Idaho,1815.33,4.0
72,Alaska,Illinois,2893.15,23.0
73,Alaska,Indiana,2996.11,24.0
74,Alaska,Iowa,2627.56,16.0
75,Alaska,Kansas,2645.89,18.0
76,Alaska,Kentucky,3157.0,28.0
77,Alaska,Louisiana,3285.84,35.0
78,Alaska,Maine,3331.0,37.0
79,Alaska,Maryland,3368.24,38.0
80,Alaska,Massachusetts,3394.66,41.0
81,Alaska,Michigan,2839.96,20.0
82,Alaska,Minnesota,2437.97,12.0
83,Alaska,Mississippi,3253.15,33.0
84,Alaska,Missouri,2842.02,22.0
85,Alaska,Montana,1811.63,3.0
86,Alaska,Nebraska,2486.94,13.0
87,Alaska,Nevada,1968.08,6.0
88,Alaska,New Hampshire,3325.12,36.0
89,Alaska,New Jersey,3370.77,39.0
90,Alaska,New Mexico,2597.74,15.0
91,Alaska,New York,3237.73,31.0
92,Alaska,North Carolina,3455.91,45.0
93,Alaska,North Dakota,2141.85,9.0
94,Alaska,Northern Mariana Islands,4460.9,49.0
95,Alaska,Ohio,3079.36,27.0
96,Alaska,Oklahoma,2841.63,21.0
97,Alaska,Oregon,1538.14,2.0
98,Alaska,Pennsylvania,3253.91,34.0
99,Alaska,Puerto Rico,4891.39,51.0
100,Alaska,Rhode Island,3417.35,43.0
101,Alaska,South Carolina,3484.48,47.0
102,Alaska,South Dakota,2333.75,10.0
103,Alaska,Tennessee,3203.63,29.0
104,Alaska,Texas,2999.16,25.0
105,Alaska,Utah,2129.19,8.0
106,Alaska,Vermont,3238.56,32.0
107,Alaska,Virgin Islands,4936.38,52.0
108,Alaska,Virginia,3401.56,42.0
109,Alaska,Washington,1438.23,1.0
110,Alaska,West Virginia,3236.18,30.0
111,Alaska,Wisconsin,2642.73,17.0
112,Alaska,Wyoming,2111.99,7.0
113,American Samoa,Arizona,5092.6,7.0
114,American Samoa,Arkansas,6104.85,22.0
115,American Samoa,California,4810.08,4.0
116,American Samoa,Colorado,5544.68,12.0
117,American Samoa,Connecticut,7260.49,45.0
118,American Samoa,Delaware,7081.41,42.0
119,American Samoa,Diamond Princess,11245.44,54.0
120,American Samoa,District of Columbia,11245.44,54.0
121,American Samoa,Florida,6571.05,33.0
122,American Samoa,Georgia,6546.39,31.0
123,American Samoa,Grand Princess,11245.44,54.0
124,American Samoa,Guam,3627.23,2.0
125,American Samoa,Hawaii,2584.77,1.0
126,American Samoa,Idaho,5312.36,10.0
127,American Samoa,Illinois,6380.42,27.0
128,American Samoa,Indiana,6532.09,30.0
129,American Samoa,Iowa,6216.47,24.0
130,American Samoa,Kansas,5895.09,17.0
131,American Samoa,Kentucky,6560.62,32.0
132,American Samoa,Louisiana,6051.27,20.0
133,American Samoa,Maine,7428.42,51.0
134,American Samoa,Maryland,7021.46,41.0
135,American Samoa,Massachusetts,7334.3,49.0
136,American Samoa,Michigan,6659.75,34.0
137,American Samoa,Minnesota,6241.58,26.0
138,American Samoa,Mississippi,6217.45,25.0
139,American Samoa,Missouri,6174.73,23.0
140,American Samoa,Montana,5618.85,14.0
141,American Samoa,Nebraska,5945.38,18.0
142,American Samoa,Nevada,4995.68,5.0
143,American Samoa,New Hampshire,7326.29,48.0
144,American Samoa,New Jersey,7137.53,43.0
145,American Samoa,New Mexico,5397.6,11.0
146,American Samoa,New York,7139.87,44.0
147,American Samoa,North Carolina,6836.88,38.0
148,American Samoa,North Dakota,6052.44,21.0
149,American Samoa,Northern Mariana Islands,3634.79,3.0
150,American Samoa,Ohio,6704.28,35.0
151,American Samoa,Oklahoma,5870.64,16.0
152,American Samoa,Oregon,5069.63,6.0
153,American Samoa,Pennsylvania,7004.41,40.0
154,American Samoa,Puerto Rico,7415.53,50.0
155,American Samoa,Rhode Island,7320.32,47.0
156,American Samoa,South Carolina,6718.53,36.0
157,American Samoa,South Dakota,6007.68,19.0
158,American Samoa,Tennessee,6470.95,29.0
159,American Samoa,Texas,5698.37,15.0
160,American Samoa,Utah,5283.81,9.0
161,American Samoa,Vermont,7267.96,46.0
162,American Samoa,Virgin Islands,7509.64,52.0
163,American Samoa,Virginia,6918.17,39.0
164,American Samoa,Washington,5213.1,8.0
165,American Samoa,West Virginia,6802.76,37.0
166,American Samoa,Wisconsin,6447.46,28.0
167,American Samoa,Wyoming,5613.93,13.0
168,Arizona,Arkansas,1061.86,15.0
169,Arizona,California,649.16,5.0
170,Arizona,Colorado,493.77,3.0
171,Arizona,Connecticut,2171.0,41.0
172,Arizona,Delaware,2010.31,38.0
173,Arizona,Diamond Princess,7421.33,53.0
174,Arizona,District of Columbia,7421.33,53.0
175,Arizona,Florida,1706.07,31.0
176,Arizona,Georgia,1574.58,29.0
177,Arizona,Grand Princess,7421.33,53.0
178,Arizona,Guam,6522.12,51.0
179,Arizona,Hawaii,2919.24,47.0
180,Arizona,Idaho,751.92,8.0
181,Arizona,Illinois,1289.39,23.0
182,Arizona,Indiana,1443.27,26.0
183,Arizona,Iowa,1133.97,20.0
184,Arizona,Kansas,802.58,10.0
185,Arizona,Kentucky,1492.37,27.0
186,Arizona,Louisiana,1131.56,18.0
187,Arizona,Maine,2337.27,46.0
188,Arizona,Maryland,1946.02,37.0
189,Arizona,Massachusetts,2242.99,45.0
190,Arizona,Michigan,1573.56,28.0
191,Arizona,Minnesota,1206.77,21.0
192,Arizona,Mississippi,1236.34,22.0
193,Arizona,Missouri,1086.32,16.0
194,Arizona,Montana,946.21,12.0
195,Arizona,Nebraska,874.46,11.0
196,Arizona,Nevada,557.79,4.0
